function,count,library
numpy.ma.core.MaskedArray.data,12,matplotlib
numpy.newaxis,12,xarray
numpy.any,12,matplotlib
numpy.expand_dims,12,matplotlib
numpy.argsort,12,skimage
numpy.dtype.kind,12,skimage
numpy.argmax,12,pandas
numpy.nanargmax,12,dask.array
numpy.ma.core.filled,12,matplotlib
numpy.insert,12,pandas
numpy.cumsum,12,matplotlib
numpy.unique,12,pandas
numpy.ma.core.asarray,12,matplotlib
numpy.random.mtrand.RandomState.uniform,12,skimage
numpy.ndarray.squeeze,11,pandas
numpy.sin,11,pandas
numpy.ma.core.is_masked,11,matplotlib
numpy.ma,11,xarray
numpy.median,11,pandas
numpy.allclose,11,xarray
numpy.var,11,pandas
numpy.generic.any,11,pandas
numpy.argmin,11,pandas
numpy.dtype.itemsize,11,dask.array
numpy.recarray.dtype,11,pandas
numpy.maximum,11,xarray
numpy.random.mtrand.RandomState.standard_normal,11,matplotlib
numpy.nanmin,11,pandas
numpy.pad,11,xarray
numpy.ufunc.reduce,11,pandas
numpy.nanmax,11,pandas
numpy.ndarray.any,11,dask.array
numpy.float32,11,matplotlib
numpy.issubdtype,11,pandas
numpy.ndarray.ravel,11,dask.array
numpy.sin,11,dask.array
numpy.float32,11,dask.array
numpy.fft.ifft,11,dask.array
numpy.hypot,11,skimage
numpy.remainder,11,dask.array
numpy.fft.fft2,11,dask.array
numpy.maximum,11,dask.array
numpy.sort,11,skimage
numpy.logical_and,11,skimage
numpy.isnan,11,skimage
numpy.absolute,11,dask.array
numpy.meshgrid,11,skimage
numpy.ndarray.flat,11,skimage
numpy.floating,11,skimage
numpy.fft.rfftn,10,dask.array
numpy.broadcast_to,10,matplotlib
numpy.fft.rfft2,10,dask.array
numpy.ndarray.size,10,dask.array
numpy.asanyarray,10,skimage
numpy.random.random,10,dask.array
numpy.random.mtrand.RandomState.randn,10,matplotlib
numpy.ma.core.masked_greater,10,dask.array
numpy.ma.core.MaskedArray.sum,10,dask.array
numpy.sqrt,10,dask.array
numpy.argsort,10,dask.array
numpy.ma.core.isMaskedArray,10,skimage
numpy.isnan,10,xarray
numpy.lexsort,10,pandas
numpy.fft.irfft,10,dask.array
numpy.fft.fftn,10,dask.array
numpy.apply_along_axis,10,pandas
numpy.ndarray.mean,10,pandas
numpy.logical_and,10,pandas
numpy.apply_over_axes,10,skimage
numpy.unravel_index,10,skimage
numpy.uint16,10,pandas
numpy.copy,10,skimage
numpy.subtract,10,pandas
numpy.ndarray.nbytes,10,pandas
numpy.fft.ihfft,10,dask.array
numpy.empty_like,10,matplotlib
numpy.ndarray.flatten,10,skimage
numpy.integer,10,skimage
numpy.ma.core.MaskedArray.min,10,matplotlib
numpy.fft.rfft,10,dask.array
numpy.floating,10,xarray
numpy.fft.hfft,10,dask.array
numpy.insert,10,dask.array
numpy.logaddexp,10,pandas
numpy.unique,10,xarray
numpy.ufunc.outer,10,dask.array
numpy.block,10,dask.array
numpy.empty,10,xarray
numpy.ndarray.mean,10,dask.array
numpy.float64.shape,10,dask.array
numpy.tile,9,skimage
numpy.mean,9,matplotlib
numpy.random.choice,9,pandas
numpy.diff,9,skimage
numpy.ma.core.MaskedArray,9,dask.array
numpy.ndarray.sum,9,xarray
numpy.bincount,9,pandas
numpy.finfo.eps,9,skimage
numpy.float64.dtype,9,pandas
numpy.ptp,9,matplotlib
numpy.ldexp,9,dask.array
numpy.ndarray.sort,9,skimage
numpy.size,9,matplotlib
numpy.arctan2,9,dask.array
numpy.floor,9,skimage
numpy.transpose,9,pandas
numpy.ma.masked_invalid,9,matplotlib
numpy.vstack,9,pandas
numpy.e,9,matplotlib
numpy.ma.core.MaskedArray,9,matplotlib
numpy.testing._private.utils.assert_equal,9,dask.array
numpy.nancumprod,9,dask.array
numpy.dtype.kind,9,matplotlib
numpy.fmax,9,dask.array
numpy.logical_or,9,dask.array
numpy.ufunc.accumulate,9,pandas
numpy.testing,9,dask.array
numpy.zeros_like,9,pandas
numpy.nancumsum,9,dask.array
numpy.generic.astype,9,matplotlib
numpy.isnan,9,matplotlib
numpy.logical_not,9,skimage
numpy.subtract,9,dask.array
numpy.r_,9,skimage
numpy.maximum,9,skimage
numpy.squeeze,9,skimage
numpy.flagsobj.writeable =,9,pandas
builtins.function.__name__,9,dask.array
numpy.arctan2,9,matplotlib
numpy.diff,9,xarray
numpy.dtype.itemsize,9,xarray
numpy.bincount,9,matplotlib
numpy.allclose,9,matplotlib
numpy.fmod,9,dask.array
numpy.transpose,9,dask.array
numpy.tensordot,8,dask.array
numpy.atleast_2d,8,pandas
numpy.mgrid,8,matplotlib
numpy.delete,8,pandas
numpy.bitwise_xor,8,dask.array
numpy.ma.extras.masked_all,8,pandas
numpy.newaxis,8,dask.array
numpy.minimum,8,dask.array
numpy.newaxis,8,pandas
numpy.amin,8,xarray
numpy.random.mtrand.RandomState.randint,8,xarray
numpy.bytes_,8,xarray
numpy.asanyarray,8,dask.array
numpy.fft,8,dask.array
numpy.str_,8,pandas
numpy.resize,8,matplotlib
numpy.tril,8,dask.array
numpy.float_power,8,dask.array
numpy.broadcast_to,8,dask.array
numpy.random.mtrand.RandomState.uniform,8,pandas
numpy.stack,8,xarray
numpy.diag,8,dask.array
numpy.bitwise_and,8,dask.array
numpy.datetime64,8,matplotlib
numpy.random.mtrand.RandomState.rand,8,xarray
numpy.random.randn,8,skimage
numpy.logaddexp2,8,dask.array
numpy.median,8,dask.array
numpy.unique,8,dask.array
numpy.less_equal,8,dask.array
numpy.ndarray.argmax,8,pandas
numpy.column_stack,8,skimage
numpy.ndarray.any,8,xarray
numpy.random.mtrand.RandomState,8,dask.array
numpy.ma.core.MaskedArray.ndim,8,skimage
numpy.shares_memory,8,pandas
numpy.int_,8,pandas
numpy.all,8,xarray
numpy.histogram,8,dask.array
numpy.nonzero,8,pandas
numpy.conjugate,8,dask.array
numpy.argmin,8,skimage
numpy.concatenate,8,xarray
numpy.equal,8,dask.array
numpy.multiply,8,dask.array
numpy.stack,8,dask.array
numpy.power,8,dask.array
numpy.ndarray.max,8,dask.array
numpy.real,8,skimage
numpy.nextafter,8,dask.array
numpy.sort,8,dask.array
numpy.full,8,matplotlib
numpy.ma.core.MaskedArray.reshape,8,matplotlib
numpy.errstate,8,dask.array
numpy.greater_equal,8,dask.array
numpy.square,8,dask.array
numpy.sum,8,xarray
numpy.append,8,pandas
numpy.cos,8,xarray
numpy.stack,8,matplotlib
numpy.unique,8,matplotlib
numpy.pi,8,xarray
numpy.log2,7,matplotlib
numpy.ndarray.round,7,pandas
numpy.signbit,7,pandas
numpy.product,7,skimage
numpy.diff,7,pandas
numpy.sign,7,dask.array
numpy.dtype.type,7,xarray
Type[numpy.ndarray].__module__,7,dask.array
numpy.count_nonzero,7,skimage
numpy.less,7,dask.array
numpy.gradient,7,skimage
numpy.greater,7,dask.array
numpy.result_type,7,pandas
numpy.not_equal,7,dask.array
numpy.generic.view,7,pandas
numpy.datetime64.dtype,7,pandas
numpy.ogrid,7,skimage
numpy.round_,7,matplotlib
builtins.iter,7,dask.array
numpy.iinfo.min,7,pandas
numpy.random.mtrand.RandomState.choice,7,skimage
numpy.degrees,7,dask.array
numpy.radians,7,matplotlib
numpy.power,7,matplotlib
numpy.amax,7,xarray
numpy.floor_divide,7,dask.array
numpy.tanh,7,dask.array
numpy.timedelta64.dtype,7,xarray
numpy.cosh,7,dask.array
numpy.min,7,pandas
numpy.hypot,7,dask.array
numpy.dtype.itemsize,7,skimage
numpy.invert,7,dask.array
numpy.ndarray.tolist,7,xarray
numpy.log1p,7,dask.array
numpy.ma.core.MaskedArray.dtype,7,dask.array
numpy.logaddexp,7,dask.array
numpy.modf,7,pandas
numpy.random.mtrand.RandomState.randn,7,dask.array
numpy.invert,7,skimage
numpy.nansum,7,pandas
numpy.ndarray.view,7,dask.array
numpy.generic.all,7,xarray
numpy.vstack,7,dask.array
numpy.diff,7,dask.array
numpy.int64.ndim,7,dask.array
numpy.ravel,7,xarray
numpy.ceil,7,dask.array
numpy.atleast_1d,7,xarray
numpy.rad2deg,7,dask.array
numpy.logical_and,7,dask.array
numpy.broadcast_to,7,pandas
numpy.copysign,7,dask.array
numpy.ma,7,pandas
numpy.ndarray.min,7,dask.array
numpy.full,7,pandas
numpy.asanyarray,7,pandas
numpy.bitwise_or,7,dask.array
numpy.logical_or,7,pandas
numpy.ndarray.tolist,7,skimage
numpy.arctan2,7,skimage
numpy.ndarray.cumsum,7,pandas
numpy.uint64,7,skimage
numpy.ndarray.var,7,skimage
numpy.typecodes,7,pandas
numpy.isclose,7,matplotlib
numpy.corrcoef,7,pandas
numpy.int64.dtype,7,pandas
numpy.array_equal,7,pandas
numpy.fmin,7,dask.array
numpy.random.randint,7,skimage
numpy.iinfo,7,skimage
numpy.logical_not,7,dask.array
numpy.logical_xor,7,dask.array
numpy.ndarray.item,7,xarray
numpy.ma.masked,6,matplotlib
numpy.cumprod,6,dask.array
numpy.complex128.dtype,6,pandas
numpy.linalg.inv,6,skimage
numpy.atleast_2d,6,skimage
numpy.dtype.names,6,pandas
numpy.cov,6,dask.array
numpy.abs,6,skimage
numpy.digitize,6,dask.array
numpy.bincount,6,dask.array
numpy.arccosh,6,dask.array
numpy.ma.core.masked_equal,6,matplotlib
numpy.arcsinh,6,dask.array
numpy.arctanh,6,dask.array
numpy.argmin,6,matplotlib
numpy.log10,6,pandas
numpy.ma.core.MaskedArray.reshape,6,dask.array
numpy.ma.core.filled,6,dask.array
numpy.cbrt,6,dask.array
numpy.exp2,6,dask.array
numpy.logical_not,6,pandas
numpy.reciprocal,6,dask.array
numpy.power,6,skimage
numpy.spacing,6,dask.array
numpy.ndarray.flags,6,skimage
numpy.ndim,6,matplotlib
numpy.ndarray.squeeze,6,matplotlib
numpy.where,6,matplotlib
numpy.sign,6,matplotlib
numpy.transpose,6,matplotlib
numpy.ones_like,6,matplotlib
numpy.ma.core.getmask,6,matplotlib
numpy.ma.core.MaskedArray.ravel,6,matplotlib
numpy.bincount,6,skimage
numpy.r_,6,matplotlib
numpy.isinf,6,matplotlib
numpy.linalg.norm,6,dask.array
numpy.int16.dtype,6,pandas
numpy.linalg.svd,6,skimage
numpy.maximum,6,pandas
numpy.ndarray.transpose,6,xarray
numpy.argmax,6,xarray
numpy.broadcast_arrays,6,dask.array
